date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,sunshine_total_min
Tue Mar 31 1998 18:00:00 GMT-0600 (Central Standard Time),Spring,16.7,7.2,25.6,0,7.6,750
Wed Apr 01 1998 18:00:00 GMT-0600 (Central Standard Time),Spring,17.2,8.9,25,0,9,514
Thu Apr 02 1998 18:00:00 GMT-0600 (Central Standard Time),Spring,20,12.2,27.2,0,14.8,753
Fri Apr 03 1998 18:00:00 GMT-0600 (Central Standard Time),Spring,16.7,10.6,22.8,0,14,754
Sat Apr 04 1998 18:00:00 GMT-0600 (Central Standard Time),Spring,17.2,10,24.4,0,11.2,705
Sun Apr 05 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,18.3,14.4,21.7,0,13,50
Mon Apr 06 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,23.9,17.2,30,0,9.4,671
Tue Apr 07 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,22.2,15.6,28.3,10.2,16.6,560
Wed Apr 08 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,19.4,12.8,25.6,0,12.6,763
Thu Apr 09 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,17.8,10,25.6,0,6.8,765
Fri Apr 10 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,18.3,10.6,26.1,0,13.3,767
Sat Apr 11 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,21.1,15.6,26.1,0,22.7,371
Sun Apr 12 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,23.9,18.9,28.9,0.3,10.4,501
Mon Apr 13 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,23.9,18.9,28.3,0,13,521
Tue Apr 14 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,23.3,18.3,27.8,0,11.9,123
Wed Apr 15 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,21.7,16.1,27.2,0,18,685
Thu Apr 16 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,17.8,13.9,21.7,0,20.9,193
Fri Apr 17 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,18.9,13.3,23.9,0,15.1,311
Sat Apr 18 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,18.3,10,26.1,0,5.8,672
Sun Apr 19 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,18.3,11.1,25.6,0,10.1,725
Mon Apr 20 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,17.8,12.2,23.3,2.3,16.2,551
Tue Apr 21 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,19.4,11.7,27.2,0,9,787
Wed Apr 22 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,20,11.1,28.3,0,6.5,788
Thu Apr 23 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,21.1,12.8,29.4,0,16.6,765
Fri Apr 24 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,21.1,15.6,26.1,0,20.9,295
Sat Apr 25 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,21.7,19.4,23.9,6.6,10.1,52
Sun Apr 26 1998 19:00:00 GMT-0500 (Central Daylight Time),Spring,19.4,16.1,22.8,0.5,13.7,245
