date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh
Sat Jan 13 1973 18:00:00 GMT-0600 (Central Standard Time),Winter,-10.2,-13.9,-8.3,5.1,5.5
Sat Mar 17 1973 18:00:00 GMT-0600 (Central Standard Time),Spring,-2.5,-6.7,1.1,0,13.4
Fri Mar 23 1973 18:00:00 GMT-0600 (Central Standard Time),Spring,1.3,-2.8,6.7,0,7
Fri Apr 20 1973 18:00:00 GMT-0600 (Central Standard Time),Spring,4.8,2.8,7.2,0.5,23.8
Fri May 11 1973 19:00:00 GMT-0500 (Central Daylight Time),Spring,7.1,4.4,10.6,2.8,12.4
Fri Jul 06 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.6,8.9,15,0,3.7
Mon Jul 09 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,14.1,8.3,19.4,0,13.3
Tue Jul 10 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.4,10,14.4,6.9,14.1
Fri Jul 13 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.4,7.8,15,0,8.4
Sat Jul 14 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.6,7.8,14.4,0,6.5
Sat Jul 21 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.6,7.2,14.4,3,4.9
Fri Aug 03 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.1,7.2,16.1,12.4,11
Sun Aug 05 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.2,8.9,14.4,2.3,11.3
Mon Aug 13 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,8.9,5,15,5.1,8.9
Sat Sep 01 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,9.2,8.3,10.6,15.7,13.1
Mon Sep 03 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,10.4,8.3,13.9,2.8,18.4
Sun Sep 09 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,8.6,4.4,12.8,0,8
Fri Sep 21 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,8.6,5.6,10.6,22.4,6.5
Thu Oct 04 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,5.3,3.9,8.3,0.5,14.5
Fri Oct 05 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,4.1,2.8,5.6,17.5,19.4
Mon Oct 08 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,6.3,6.1,7.2,10.4,21.7
Wed Oct 10 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,6.2,5.6,6.7,12.4,21.2
Fri Oct 12 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,3.9,1.7,6.1,2.3,14.1
Sat Oct 20 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,3.3,0,6.7,0,4.5
