city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,__index_level_0__
Juneau,Sat Jan 13 1973 18:00:00 GMT-0600 (Central Standard Time),Winter,-10.2,-13.9,-8.3,5.1,5.5,10168
Juneau,Sat Mar 17 1973 18:00:00 GMT-0600 (Central Standard Time),Spring,-2.5,-6.7,1.1,0,13.4,10231
Juneau,Fri Mar 23 1973 18:00:00 GMT-0600 (Central Standard Time),Spring,1.3,-2.8,6.7,0,7,10237
Juneau,Fri Apr 20 1973 18:00:00 GMT-0600 (Central Standard Time),Spring,4.8,2.8,7.2,0.5,23.8,10265
Juneau,Fri May 11 1973 19:00:00 GMT-0500 (Central Daylight Time),Spring,7.1,4.4,10.6,2.8,12.4,10286
Juneau,Fri Jul 06 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.6,8.9,15,0,3.7,10342
Juneau,Mon Jul 09 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,14.1,8.3,19.4,0,13.3,10345
Juneau,Tue Jul 10 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.4,10,14.4,6.9,14.1,10346
Juneau,Fri Jul 13 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.4,7.8,15,0,8.4,10349
Juneau,Sat Jul 14 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.6,7.8,14.4,0,6.5,10350
Juneau,Sat Jul 21 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,10.6,7.2,14.4,3,4.9,10357
Juneau,Fri Aug 03 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.1,7.2,16.1,12.4,11,10370
Juneau,Sun Aug 05 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,11.2,8.9,14.4,2.3,11.3,10372
Juneau,Mon Aug 13 1973 19:00:00 GMT-0500 (Central Daylight Time),Summer,8.9,5,15,5.1,8.9,10380
Juneau,Sat Sep 01 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,9.2,8.3,10.6,15.7,13.1,10399
Juneau,Mon Sep 03 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,10.4,8.3,13.9,2.8,18.4,10401
Juneau,Sun Sep 09 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,8.6,4.4,12.8,0,8,10407
Juneau,Fri Sep 21 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,8.6,5.6,10.6,22.4,6.5,10419
Juneau,Thu Oct 04 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,5.3,3.9,8.3,0.5,14.5,10432
Juneau,Fri Oct 05 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,4.1,2.8,5.6,17.5,19.4,10433
Juneau,Mon Oct 08 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,6.3,6.1,7.2,10.4,21.7,10436
Juneau,Wed Oct 10 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,6.2,5.6,6.7,12.4,21.2,10438
Juneau,Fri Oct 12 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,3.9,1.7,6.1,2.3,14.1,10440
Juneau,Sat Oct 20 1973 19:00:00 GMT-0500 (Central Daylight Time),Autumn,3.3,0,6.7,0,4.5,10448
Juneau,Sun Nov 04 1973 18:00:00 GMT-0600 (Central Standard Time),Autumn,-1.6,-5,1.1,0,16.5,10463
Juneau,Fri Nov 09 1973 18:00:00 GMT-0600 (Central Standard Time),Autumn,-5,-11.1,0.6,0,12.4,10468
Juneau,Tue Nov 20 1973 18:00:00 GMT-0600 (Central Standard Time),Autumn,-9.1,-16.7,-3.3,0,6.1,10479
Juneau,Wed Nov 21 1973 18:00:00 GMT-0600 (Central Standard Time),Autumn,-9.2,-18.9,-4.4,6.9,13.4,10480
Juneau,Fri Nov 23 1973 18:00:00 GMT-0600 (Central Standard Time),Autumn,-0.2,-2.8,1.7,17,29.9,10482
Juneau,Sun Dec 02 1973 18:00:00 GMT-0600 (Central Standard Time),Winter,-5.9,-7.2,-3.3,5.3,6.2,10491
Juneau,Tue Dec 04 1973 18:00:00 GMT-0600 (Central Standard Time),Winter,1.8,0,3.9,2,21.6,10493
Juneau,Sun Dec 09 1973 18:00:00 GMT-0600 (Central Standard Time),Winter,0.7,-0.6,1.7,2.5,8.7,10498
Juneau,Wed Dec 12 1973 18:00:00 GMT-0600 (Central Standard Time),Winter,-3,-7.8,-1.1,0,5.8,10501
Juneau,Sun Dec 16 1973 18:00:00 GMT-0600 (Central Standard Time),Winter,-0.3,-1.7,1.1,0.5,19.3,10505
Juneau,Mon Dec 31 1973 18:00:00 GMT-0600 (Central Standard Time),Winter,-10.2,-13.3,-3.9,0,3,10520
Juneau,Tue Jan 01 1974 18:00:00 GMT-0600 (Central Standard Time),Winter,-12,-15.6,-6.1,0,1.6,10521
